# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
57307.65527 57314.65527 1.11554e-07 2.44441e-08 73.99920
57314.65527 57321.65527 4.38874e-08 2.07201e-08 9.85637
57321.65527 57328.65527 5.74265e-08 2.09999e-08 20.16890
57328.65527 57335.65527 7.38663e-08 2.21650e-08 27.60590
57335.65527 57342.65527 2.30428e-07 3.19262e-08 149.33600
57342.65527 57349.65527 7.80998e-07 5.08514e-08 1107.95000
57349.65527 57356.65527 7.24653e-07 5.10958e-08 988.07500
57356.65527 57363.65527 2.29425e-07 3.36099e-08 165.45900
57363.65527 57370.65527 1.99350e-07 3.05415e-08 133.18100
57370.65527 57377.65527 2.66738e-07 3.44481e-08 217.31500
57377.65527 57384.65527 4.10304e-07 3.99752e-08 378.85400
57384.65527 57391.65527 1.67951e-07 2.89260e-08 140.12200
57391.65527 57398.65527 1.00611e-07 2.84101e-08 35.95440
57398.65527 57405.65527 1.69591e-07 3.31941e-08 84.86360
57405.65527 57412.65527 3.19940e-07 3.70813e-08 265.92900
57412.65527 57419.65527 6.68155e-08 2.28332e-08 19.54660
57419.65527 57426.65527 1.01055e-07 2.53525e-08 50.62410
57426.65527 57433.65527 1.46374e-07 2.87378e-08 69.31350
57433.65527 57440.65527 1.31174e-07 3.29072e-08 37.92640
57440.65527 57447.65527 1.95487e-07 3.33833e-08 111.98400
57447.65527 57454.65527 3.85725e-07 4.00604e-08 340.53000
57454.65527 57461.65527 2.38149e-07 3.55516e-08 164.21500
57461.65527 57468.65527 1.37220e-07 2.73051e-08 85.30390
57468.65527 57475.65527 1.11069e-07 2.60550e-08 45.16450
57475.65527 57482.65527 1.03563e-07 2.74815e-08 43.93710
57482.65527 57489.65527 5.63240e-08 2.22590e-08 16.02100
57489.65527 57496.65527 6.09696e-08 2.36263e-08 14.77940
57496.65527 57503.65527 4.33157e-08 1.98931e-08 12.41990
57503.65527 57510.65527 2.22174e-07 3.28837e-08 127.43800
57510.65527 57517.65527 2.14709e-07 3.27765e-08 154.45100
57517.65527 57524.65527 2.01484e-07 3.38404e-08 112.75600
57524.65527 57531.65527 2.19699e-08 2.43132e-08 1.07528
57531.65527 57538.65527 3.40903e-08 2.05861e-08 6.33688
57538.65527 57545.65527 5.42202e-08 2.51047e-08 9.67402
57545.65527 57552.65527 1.55528e-07 3.02605e-08 83.83490
57552.65527 57559.65527 2.49144e-07 3.64325e-08 145.76000
57559.65527 57566.65527 2.68920e-07 4.03481e-08 173.83500
57566.65527 57573.65527 2.83335e-07 3.47623e-08 271.85000
57573.65527 57580.65527 4.43069e-08 2.13574e-08 9.17761
